Transaction_ID,User_ID,Amount,Transaction_Type,Location,Time_of_Day,Is_Fraud
1,4174,199.27,transfer,Sydney,afternoon,0
2,4507,121.63,in-person,New York,morning,0
3,1860,131.56,transfer,Singapore,morning,0
4,2294,283.58,online,Mumbai,afternoon,0
5,2130,66.23,in-person,Mumbai,night,0
6,2095,76.56,in-person,Singapore,afternoon,0
7,4772,517.1,online,London,afternoon,0
8,4092,11.57,in-person,Dubai,afternoon,1
9,2638,132.96,in-person,Dubai,night,0
10,3169,487.91,online,Dubai,night,0
11,1466,188.51,online,New York,afternoon,0
12,2238,158.11,in-person,Dubai,afternoon,0
13,1330,57.47,in-person,Dubai,night,0
14,2482,84.1,transfer,Dubai,afternoon,0
15,3135,382.17,online,Mumbai,morning,0
16,4444,163.84,online,Singapore,afternoon,0
17,4171,144.61,ATM,Sydney,afternoon,0
18,3919,20.98,ATM,London,morning,0
19,4735,3.23,online,Singapore,afternoon,0
20,1130,663.11,transfer,Dubai,afternoon,1
21,2685,94.64,online,London,morning,0
22,4380,184.87,online,London,morning,0
23,1769,16.61,online,Singapore,night,0
24,3391,229.84,online,Singapore,afternoon,0
25,2515,539.32,transfer,Singapore,afternoon,0
26,4485,171.45,transfer,Sydney,afternoon,0
27,3853,26.96,ATM,Singapore,afternoon,0
28,3433,174.32,transfer,Sydney,afternoon,0
29,2215,290.78,in-person,New York,afternoon,0
30,1955,104.32,in-person,Mumbai,night,0
31,3324,423.78,ATM,Sydney,afternoon,0
32,2184,209.21,transfer,Mumbai,night,0
33,1459,459.02,transfer,Dubai,morning,0
34,4385,195.37,ATM,New York,night,0
35,1021,28.15,online,London,night,0
36,3300,74.12,transfer,Singapore,morning,0
37,1747,45.08,transfer,Dubai,morning,0
38,3904,479.0,ATM,London,afternoon,0
39,4632,285.76,online,Mumbai,morning,0
40,1474,225.65,in-person,London,night,0
41,2082,71.61,in-person,Singapore,night,0
42,3558,40.68,online,Singapore,afternoon,0
43,4753,282.49,in-person,Sydney,morning,0
44,3047,128.55,online,Sydney,night,0
45,4547,51.18,online,Mumbai,morning,0
46,3747,191.75,in-person,Singapore,morning,0
47,1975,8.23,in-person,New York,afternoon,0
48,2806,78.96,in-person,Dubai,night,0
49,1189,126.43,in-person,Mumbai,night,0
50,4005,32.02,online,Mumbai,afternoon,0
51,3734,835.39,online,London,afternoon,0
52,4005,46.92,online,Mumbai,afternoon,0
53,1562,27.93,online,Dubai,morning,0
54,2899,45.51,in-person,New York,night,0
55,4638,293.12,transfer,London,morning,0
56,2267,110.85,online,Dubai,afternoon,0
57,3879,166.67,online,Sydney,afternoon,1
58,2528,4.25,transfer,Mumbai,morning,0
59,4202,7.01,online,Singapore,night,0
60,4556,118.06,ATM,Sydney,afternoon,0
61,4890,339.28,transfer,Singapore,morning,0
62,1646,432.98,online,Dubai,night,0
63,3068,18.14,online,New York,morning,0
64,3888,154.6,in-person,Singapore,morning,0
65,3214,488.9,online,Dubai,afternoon,0
66,2297,98.2,online,London,morning,0
67,3435,353.88,online,Mumbai,night,0
68,1600,28.7,transfer,New York,morning,0
69,3363,547.89,in-person,New York,morning,0
70,3061,278.4,online,London,night,0
71,1241,567.18,in-person,New York,morning,0
72,3041,225.78,in-person,Dubai,night,0
73,3824,90.32,in-person,New York,afternoon,0
74,4417,556.71,online,New York,morning,0
75,3612,64.47,in-person,New York,morning,0
76,3945,80.75,ATM,Dubai,morning,0
77,2363,241.33,online,Sydney,afternoon,0
78,3139,289.9,online,Mumbai,morning,0
79,2390,530.15,online,Singapore,afternoon,0
80,4003,45.83,online,Sydney,afternoon,0
81,2478,319.9,online,New York,afternoon,0
82,4499,268.3,transfer,London,morning,0
83,3556,13.18,ATM,London,afternoon,0
84,1775,97.95,online,Dubai,morning,0
85,1034,66.47,in-person,Mumbai,morning,0
86,3253,72.62,in-person,New York,night,0
87,4152,814.28,in-person,Dubai,afternoon,0
88,2955,205.88,in-person,Singapore,morning,0
89,2585,252.94,online,Mumbai,morning,0
90,4943,751.15,in-person,Mumbai,afternoon,0
91,4459,94.71,in-person,Dubai,night,0
92,4073,323.74,transfer,Sydney,morning,0
93,2021,114.02,transfer,London,afternoon,0
94,4461,407.33,online,Sydney,afternoon,0
95,3613,39.85,online,Mumbai,night,0
96,2129,590.1,ATM,London,morning,0
97,4843,49.38,in-person,Mumbai,afternoon,0
98,4893,78.97,transfer,Mumbai,morning,0
99,2500,282.28,online,Mumbai,afternoon,0
100,1702,100.09,in-person,Singapore,afternoon,0
101,3449,187.41,in-person,London,morning,0
102,3777,117.6,transfer,Singapore,afternoon,0
103,2579,271.25,online,London,afternoon,0
104,1161,51.84,online,Singapore,afternoon,0
105,1201,12.05,in-person,Singapore,morning,0
106,2981,71.31,transfer,Singapore,morning,0
107,1995,128.61,ATM,Dubai,morning,0
108,3317,36.79,ATM,Singapore,morning,0
109,4934,87.64,ATM,Sydney,afternoon,0
110,1815,102.16,online,Sydney,morning,0
111,4342,11.82,online,Mumbai,morning,0
112,1455,175.08,online,New York,afternoon,1
113,4533,431.43,online,Singapore,afternoon,0
114,4798,32.91,transfer,New York,night,0
115,2275,182.17,transfer,New York,night,0
116,2016,218.57,online,Mumbai,night,0
117,4773,108.72,in-person,New York,morning,0
118,3343,241.53,ATM,New York,afternoon,0
119,4796,105.77,in-person,Sydney,afternoon,0
120,3767,140.49,online,New York,night,0
121,4820,1.48,in-person,London,morning,0
122,1337,235.35,online,Singapore,afternoon,0
123,1878,216.55,in-person,Singapore,afternoon,0
124,2076,7.83,in-person,New York,afternoon,1
125,1791,91.85,online,Mumbai,afternoon,0
126,4993,772.95,ATM,London,morning,0
127,3264,109.2,in-person,Mumbai,afternoon,0
128,1763,139.41,in-person,Mumbai,afternoon,0
129,3235,481.43,ATM,New York,morning,0
130,1379,252.65,online,Dubai,night,0
131,1492,174.49,online,New York,night,0
132,4112,319.7,transfer,Sydney,morning,0
133,2180,399.56,online,Dubai,morning,0
134,3062,122.09,transfer,London,afternoon,0
135,4884,128.91,online,Dubai,afternoon,0
136,1064,97.57,online,New York,afternoon,0
137,4928,680.48,in-person,New York,night,0
138,4910,238.91,online,Mumbai,night,0
139,3568,17.38,transfer,New York,afternoon,0
140,2367,397.5,in-person,Sydney,morning,0
141,2152,131.0,ATM,New York,afternoon,0
142,3027,14.25,transfer,Singapore,afternoon,0
143,3695,159.58,online,Singapore,night,0
144,2495,107.97,transfer,Mumbai,morning,0
145,4134,420.34,in-person,Dubai,afternoon,0
146,2162,45.63,in-person,Dubai,afternoon,0
147,2522,350.27,transfer,Singapore,afternoon,0
148,3640,163.15,in-person,Sydney,morning,0
149,1391,11.23,in-person,London,night,0
150,2698,714.01,in-person,Sydney,afternoon,0
151,1418,143.74,online,Singapore,night,0
152,3336,68.75,online,Sydney,afternoon,0
153,1378,126.75,in-person,London,afternoon,0
154,2796,390.19,online,Dubai,night,0
155,4561,72.74,online,Singapore,night,0
156,3278,42.81,online,New York,night,0
157,4065,27.64,in-person,London,morning,0
158,3088,70.72,online,London,afternoon,0
159,4099,302.87,transfer,London,morning,0
160,3182,127.59,online,Dubai,afternoon,0
161,1200,51.62,in-person,Sydney,morning,0
162,2863,36.35,in-person,Mumbai,afternoon,0
163,1779,80.91,in-person,New York,night,0
164,3977,562.43,online,Singapore,afternoon,0
165,4104,84.02,ATM,Sydney,night,0
166,4119,886.65,ATM,London,morning,0
167,1502,132.81,transfer,Dubai,night,0
168,3454,39.49,ATM,London,morning,0
169,4645,443.54,in-person,Sydney,afternoon,0
170,2751,123.37,in-person,Singapore,afternoon,0
171,1804,247.35,transfer,New York,night,0
172,3146,823.46,in-person,London,night,0
173,3731,10.3,transfer,Dubai,morning,0
174,2895,20.34,transfer,Dubai,morning,0
175,3773,254.92,ATM,Mumbai,afternoon,0
176,2570,66.21,online,Dubai,afternoon,0
177,1960,40.74,transfer,Mumbai,afternoon,0
178,4810,8.03,in-person,New York,morning,0
179,3660,4.42,in-person,Singapore,night,0
180,2485,297.87,online,Mumbai,morning,0
181,3690,28.87,transfer,London,afternoon,1
182,4840,126.12,ATM,Sydney,morning,0
183,2028,186.23,online,London,night,0
184,4289,111.85,in-person,Singapore,morning,0
185,1502,5.5,online,Dubai,night,0
186,3814,306.03,ATM,Sydney,morning,0
187,1397,2.11,in-person,London,afternoon,0
188,1870,287.0,online,Sydney,night,0
189,3842,447.56,online,Mumbai,morning,0
190,1392,113.42,in-person,Singapore,night,0
191,1206,153.38,online,London,night,0
192,2038,129.63,in-person,Dubai,afternoon,0
193,2881,98.6,ATM,Sydney,morning,0
194,4625,436.83,transfer,Dubai,night,0
195,3939,448.74,online,Sydney,night,0
196,2484,81.84,ATM,London,night,0
197,4762,190.94,in-person,Singapore,night,0
198,4646,523.21,online,New York,afternoon,0
199,1863,654.34,online,London,afternoon,0
200,3790,142.25,online,Dubai,afternoon,0
201,4312,120.6,transfer,New York,afternoon,0
202,1563,65.34,online,Singapore,afternoon,0
203,2020,638.21,online,Dubai,night,0
204,1095,30.82,transfer,Singapore,afternoon,0
205,2923,173.42,in-person,Sydney,night,0
206,2757,66.41,transfer,London,morning,0
207,3532,65.43,transfer,Singapore,afternoon,0
208,4478,103.83,online,Dubai,afternoon,0
209,3278,1343.91,transfer,London,morning,0
210,3796,11.31,online,Dubai,afternoon,0
211,2678,172.81,in-person,Dubai,night,0
212,4242,17.24,in-person,New York,afternoon,0
213,1540,33.57,online,Mumbai,morning,0
214,2059,115.81,ATM,Singapore,afternoon,0
215,3572,142.86,in-person,Singapore,afternoon,1
216,2183,59.89,online,New York,afternoon,0
217,4910,76.09,ATM,Sydney,afternoon,0
218,2722,18.2,in-person,Singapore,morning,0
219,4314,72.26,in-person,New York,afternoon,1
220,4157,679.59,in-person,Singapore,night,0
221,2819,579.02,transfer,Singapore,afternoon,0
222,3625,81.56,online,Dubai,morning,0
223,3729,169.19,online,New York,night,0
224,3604,480.69,in-person,Sydney,morning,0
225,2597,1.24,online,Singapore,morning,0
226,4060,332.87,transfer,Sydney,night,0
227,3693,592.73,online,Mumbai,night,0
228,1795,19.15,online,New York,morning,0
229,2051,35.22,online,New York,afternoon,0
230,2643,647.54,transfer,New York,morning,0
231,4627,154.24,transfer,Dubai,night,0
232,2363,2.86,online,New York,afternoon,0
233,4869,59.58,in-person,Dubai,morning,0
234,2981,119.55,online,Mumbai,morning,0
235,2354,236.12,in-person,London,afternoon,0
236,2663,264.22,online,Dubai,afternoon,0
237,2529,1077.28,in-person,Singapore,night,0
238,3038,67.8,in-person,New York,night,0
239,4419,154.53,ATM,London,afternoon,0
240,2496,152.42,online,Dubai,night,0
241,4302,104.06,transfer,Sydney,afternoon,0
242,3237,37.06,in-person,Sydney,afternoon,0
243,4296,758.46,ATM,Singapore,afternoon,0
244,2408,383.9,online,London,morning,0
245,2400,137.96,online,Mumbai,morning,0
246,2306,184.89,transfer,Dubai,night,0
247,3680,51.56,online,Sydney,afternoon,0
248,3675,156.96,online,Sydney,night,0
249,1972,237.47,online,Dubai,morning,0
250,2768,144.79,transfer,Sydney,afternoon,0
251,2282,926.82,online,Mumbai,afternoon,0
252,4430,189.01,transfer,Sydney,afternoon,0
253,1709,92.72,in-person,Dubai,night,0
254,2479,295.82,online,New York,afternoon,0
255,2434,37.38,in-person,Sydney,afternoon,0
256,1648,97.07,online,Dubai,afternoon,0
257,1317,85.22,in-person,New York,night,0
258,4748,113.06,in-person,Sydney,afternoon,0
259,4296,304.45,in-person,Sydney,afternoon,0
260,4890,132.4,online,Dubai,night,0
261,2257,315.99,in-person,Singapore,morning,0
262,1683,171.84,transfer,Singapore,night,0
263,1663,83.73,transfer,London,night,0
264,2998,332.12,transfer,Singapore,afternoon,0
265,4898,54.44,online,Mumbai,night,0
266,4445,50.82,transfer,London,night,0
267,4743,140.44,online,Singapore,night,0
268,2631,60.45,online,New York,morning,0
269,2495,1.83,transfer,Dubai,night,0
270,4304,208.99,ATM,Singapore,morning,0
271,4763,143.12,in-person,New York,morning,1
272,2136,117.94,online,London,night,0
273,2853,682.06,online,Dubai,night,0
274,2520,169.35,in-person,Singapore,afternoon,0
275,3489,398.19,transfer,London,afternoon,0
276,1563,30.04,online,Singapore,night,0
277,2291,168.43,transfer,London,night,0
278,4581,404.96,online,Singapore,afternoon,0
279,4878,174.98,transfer,New York,morning,0
280,4457,253.18,ATM,Mumbai,night,0
281,4458,93.06,in-person,New York,afternoon,0
282,4184,19.4,online,Dubai,morning,0
283,2636,122.46,transfer,Singapore,afternoon,0
284,4696,100.33,in-person,Mumbai,afternoon,0
285,3999,403.57,in-person,Mumbai,afternoon,0
286,4152,55.94,in-person,Dubai,night,0
287,1698,680.65,online,Dubai,morning,0
288,3160,634.68,transfer,Mumbai,morning,0
289,1001,56.91,online,Dubai,afternoon,0
290,1641,85.56,ATM,Dubai,morning,0
291,3267,451.82,online,Singapore,afternoon,0
292,2589,679.97,transfer,New York,afternoon,0
293,1854,117.2,online,Sydney,night,0
294,2759,77.43,online,London,night,0
295,4296,149.35,online,Mumbai,afternoon,0
296,3432,232.8,transfer,London,morning,0
297,4474,63.9,in-person,Mumbai,afternoon,0
298,2661,266.72,transfer,Mumbai,afternoon,0
299,2153,10.61,online,New York,morning,0
300,2076,10.11,in-person,Mumbai,night,0
301,2707,97.65,transfer,Mumbai,afternoon,0
302,3777,87.23,online,New York,night,0
303,2695,75.85,in-person,Dubai,afternoon,0
304,2733,135.07,in-person,Sydney,night,0
305,2439,77.35,online,London,afternoon,0
306,3294,42.7,online,Mumbai,afternoon,0
307,1835,74.06,in-person,New York,afternoon,0
308,4510,737.01,online,Mumbai,night,0
309,1202,105.9,transfer,New York,afternoon,1
310,4255,117.65,ATM,London,night,0
311,1122,171.86,in-person,Singapore,morning,0
312,1400,818.96,in-person,Dubai,morning,0
313,1766,55.31,online,Singapore,morning,0
314,1293,228.69,transfer,New York,night,0
315,3327,251.75,online,Mumbai,morning,0
316,4908,186.95,in-person,Dubai,night,0
317,3931,18.55,ATM,London,afternoon,0
318,4681,225.94,in-person,Sydney,morning,0
319,1197,13.25,transfer,Dubai,afternoon,0
320,4029,181.34,in-person,Mumbai,afternoon,0
